Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price
io.tecventures.mysticmotors.iap.offer_adrenaline_pro,published,managed_by_android,true,en_US; EXOTIC SURGE; EXOTIC SURGE Special Offer,true,5990000
io.tecventures.mysticmotors.iap.offer_resource_rush,published,managed_by_android,true,en_US; GOLD FLOOD; GOLD FLOOD Special Offer,true,24990000
io.tecventures.mysticmotors.iap.offer_mythic_mystery,published,managed_by_android,true,en_US; FORTUNE VAULT; FORTUNE VAULT Special Offer,true,44990000
io.tecventures.mysticmotors.iap.offer_double_clutch,published,managed_by_android,true,en_US; WEEKEND CIRCUIT; WEEKEND CIRCUIT Special Offer,true,6990000
io.tecventures.mysticmotors.iap.offer_ignition_starter,published,managed_by_android,true,en_US; GEM IGNITION; GEM IGNITION Special Offer,true,1990000
io.tecventures.mysticmotors.iap.offer_fuel_emergency,published,managed_by_android,true,en_US; FUEL SURGE; FUEL SURGE Special Offer,true,1990000
io.tecventures.mysticmotors.iap.offer_nitro_surge,published,managed_by_android,true,en_US; RARE RUSH; RARE RUSH Special Offer,true,1990000
io.tecventures.mysticmotors.iap.offer_adrenaline_shot,published,managed_by_android,true,en_US; RARE STORM; RARE STORM Special Offer,true,1990000
io.tecventures.mysticmotors.iap.offer_sprint_starter,published,managed_by_android,true,en_US; SPARK CACHE; SPARK CACHE Special Offer,true,1990000
io.tecventures.mysticmotors.iap.offer_midnight_oil,published,managed_by_android,true,en_US; NIGHT SHIFT; NIGHT SHIFT Special Offer,true,1990000
io.tecventures.mysticmotors.iap.offer_nitro_boost_plus,published,managed_by_android,true,en_US; SHARD STRIKE; SHARD STRIKE Special Offer,true,2990000
io.tecventures.mysticmotors.iap.offer_pit_stop_special,published,managed_by_android,true,en_US; TURBO CACHE; TURBO CACHE Special Offer,true,3990000
io.tecventures.mysticmotors.iap.offer_pro_crew_kit,published,managed_by_android,true,en_US; LEGENDARY HAUL; LEGENDARY HAUL Special Offer,true,29990000
io.tecventures.mysticmotors.iap.offer_street_legend,published,managed_by_android,true,en_US; LEGEND SURGE; LEGEND SURGE Special Offer,true,39990000
io.tecventures.mysticmotors.iap.offer_pro_circuit_pack,published,managed_by_android,true,en_US; GRAND CIRCUIT; GRAND CIRCUIT Special Offer,true,69990000
io.tecventures.mysticmotors.iap.offer_lvl10_milestone,published,managed_by_android,true,en_US; MASTERY SURGE; MASTERY SURGE Special Offer,true,2990000
io.tecventures.mysticmotors.iap.offer_lvl20_milestone,published,managed_by_android,true,en_US; HORIZON CACHE; HORIZON CACHE Special Offer,true,12990000
io.tecventures.mysticmotors.iap.offer_lvl50_milestone,published,managed_by_android,true,en_US; APEX VAULT; APEX VAULT Special Offer,true,99990000
io.tecventures.mysticmotors.iap.offer_mechanics_choice,published,managed_by_android,true,en_US; GARAGE CIRCUIT; GARAGE CIRCUIT Special Offer,true,6990000
io.tecventures.mysticmotors.iap.offer_drift_king,published,managed_by_android,true,en_US; EXOTIC EDGE; EXOTIC EDGE Special Offer,true,9990000
io.tecventures.mysticmotors.iap.offer_fast_lane_pack,published,managed_by_android,true,en_US; SPEED VAULT; SPEED VAULT Special Offer,true,12990000
io.tecventures.mysticmotors.iap.offer_weekend_warrior,published,managed_by_android,true,en_US; EXOTIC STORM; EXOTIC STORM Special Offer,true,19990000
io.tecventures.mysticmotors.iap.offer_tuners_vault,published,managed_by_android,true,en_US; LEGENDARY EDGE; LEGENDARY EDGE Special Offer,true,24990000
io.tecventures.mysticmotors.iap.offer_drift_king_upsell,published,managed_by_android,true,en_US; FLASH CIRCUIT; FLASH CIRCUIT Special Offer,true,5990000
io.tecventures.mysticmotors.iap.offer_the_collector,published,managed_by_android,true,en_US; MYTHIC TROVE; MYTHIC TROVE Special Offer,true,79990000
io.tecventures.mysticmotors.iap.offer_elite_engineer,published,managed_by_android,true,en_US; LEGENDARY VAULT; LEGENDARY VAULT Special Offer,true,89990000
io.tecventures.mysticmotors.iap.offer_garage_overhaul,published,managed_by_android,true,en_US; GARAGE GODS; GARAGE GODS Special Offer,true,129990000
io.tecventures.mysticmotors.iap.offer_grand_prix_hoard,published,managed_by_android,true,en_US; GRAND HAUL; GRAND HAUL Special Offer,true,149990000
io.tecventures.mysticmotors.iap.offer_the_sovereign,published,managed_by_android,true,en_US; SOVEREIGN CACHE; SOVEREIGN CACHE Special Offer,true,199990000
io.tecventures.mysticmotors.iap.offer_championship_kit,published,managed_by_android,true,en_US; CHAMPIONS VAULT; CHAMPIONS VAULT Special Offer,true,199990000
