Reference Name,Product ID,Type,Price (USD),Display Name,Description
EXOTIC SURGE,com.tecventures.mysticmotors.exotic.surge,Consumable,5.99,EXOTIC SURGE,EXOTIC SURGE - Special Offer
GOLD FLOOD,com.tecventures.mysticmotors.gold.flood,Consumable,24.99,GOLD FLOOD,GOLD FLOOD - Special Offer
FORTUNE VAULT,com.tecventures.mysticmotors.fortune.vault,Consumable,44.99,FORTUNE VAULT,FORTUNE VAULT - Special Offer
WEEKEND CIRCUIT,com.tecventures.mysticmotors.weekend.circuit,Consumable,6.99,WEEKEND CIRCUIT,WEEKEND CIRCUIT - Special Offer
GEM IGNITION,com.tecventures.mysticmotors.gem.ignition,Consumable,1.99,GEM IGNITION,GEM IGNITION - Special Offer
FUEL SURGE,com.tecventures.mysticmotors.fuel.surge,Consumable,1.99,FUEL SURGE,FUEL SURGE - Special Offer
RARE RUSH,com.tecventures.mysticmotors.rare.rush,Consumable,1.99,RARE RUSH,RARE RUSH - Special Offer
RARE STORM,com.tecventures.mysticmotors.rare.storm,Consumable,1.99,RARE STORM,RARE STORM - Special Offer
SPARK CACHE,com.tecventures.mysticmotors.spark.cache,Consumable,1.99,SPARK CACHE,SPARK CACHE - Special Offer
NIGHT SHIFT,com.tecventures.mysticmotors.night.shift,Consumable,1.99,NIGHT SHIFT,NIGHT SHIFT - Special Offer
SHARD STRIKE,com.tecventures.mysticmotors.shard.strike,Consumable,2.99,SHARD STRIKE,SHARD STRIKE - Special Offer
TURBO CACHE,com.tecventures.mysticmotors.turbo.cache,Consumable,3.99,TURBO CACHE,TURBO CACHE - Special Offer
LEGENDARY HAUL,com.tecventures.mysticmotors.legendary.haul,Consumable,29.99,LEGENDARY HAUL,LEGENDARY HAUL - Special Offer
LEGEND SURGE,com.tecventures.mysticmotors.legend.surge,Consumable,39.99,LEGEND SURGE,LEGEND SURGE - Special Offer
GRAND CIRCUIT,com.tecventures.mysticmotors.grand.circuit,Consumable,69.99,GRAND CIRCUIT,GRAND CIRCUIT - Special Offer
MASTERY SURGE,com.tecventures.mysticmotors.mastery.surge,Consumable,2.99,MASTERY SURGE,MASTERY SURGE - Special Offer
HORIZON CACHE,com.tecventures.mysticmotors.horizon.cache,Consumable,12.99,HORIZON CACHE,HORIZON CACHE - Special Offer
APEX VAULT,com.tecventures.mysticmotors.apex.vault,Consumable,99.99,APEX VAULT,APEX VAULT - Special Offer
GARAGE CIRCUIT,com.tecventures.mysticmotors.garage.circuit,Consumable,6.99,GARAGE CIRCUIT,GARAGE CIRCUIT - Special Offer
EXOTIC EDGE,com.tecventures.mysticmotors.exotic.edge,Consumable,9.99,EXOTIC EDGE,EXOTIC EDGE - Special Offer
SPEED VAULT,com.tecventures.mysticmotors.speed.vault,Consumable,12.99,SPEED VAULT,SPEED VAULT - Special Offer
EXOTIC STORM,com.tecventures.mysticmotors.exotic.storm,Consumable,19.99,EXOTIC STORM,EXOTIC STORM - Special Offer
LEGENDARY EDGE,com.tecventures.mysticmotors.legendary.edge,Consumable,24.99,LEGENDARY EDGE,LEGENDARY EDGE - Special Offer
FLASH CIRCUIT,com.tecventures.mysticmotors.flash.circuit,Consumable,5.99,FLASH CIRCUIT,FLASH CIRCUIT - Special Offer
MYTHIC TROVE,com.tecventures.mysticmotors.mythic.trove,Consumable,79.99,MYTHIC TROVE,MYTHIC TROVE - Special Offer
LEGENDARY VAULT,com.tecventures.mysticmotors.legendary.vault,Consumable,89.99,LEGENDARY VAULT,LEGENDARY VAULT - Special Offer
GARAGE GODS,com.tecventures.mysticmotors.garage.gods,Consumable,129.99,GARAGE GODS,GARAGE GODS - Special Offer
GRAND HAUL,com.tecventures.mysticmotors.grand.haul,Consumable,149.99,GRAND HAUL,GRAND HAUL - Special Offer
SOVEREIGN CACHE,com.tecventures.mysticmotors.sovereign.cache,Consumable,199.99,SOVEREIGN CACHE,SOVEREIGN CACHE - Special Offer
CHAMPIONS VAULT,com.tecventures.mysticmotors.champions.vault,Consumable,199.99,CHAMPIONS VAULT,CHAMPIONS VAULT - Special Offer
