offer_id,display_name,category,slot,price_usd,original_price_usd,value_multiplier,validity,trigger_condition,upsell_offer_id,item_type,item_sku_id,item_display_name,item_quantity
offer_adrenaline_pro,EXOTIC SURGE,context,4,$5.99,,4x,1h,win_streak_3,,gems,gems,Gems,1400
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,2
,,,,,,,,,,booster,sku_wkm0amtg,Coin Booster 12h,1
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,2
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,2
,,,,,,,,,,speedUp,sku_spd30m_w3n9,30m Time Skip,2

offer_resource_rush,GOLD FLOOD,context,4,$24.99,,3x,4h,fuel_empty,,gems,gems,Gems,4500
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,4
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,2
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,2
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,2
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,2
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,2
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,4
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,4

offer_mythic_mystery,FORTUNE VAULT,context,4,$44.99,,3x,8h,mythical_crate_earned,,gems,gems,Gems,8500
,,,,,,,,,,crate,sku_kgkjadrd79,Mythical Crate,1
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,1
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,1
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,1
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,2
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,3
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,5

offer_double_clutch,WEEKEND CIRCUIT,event,4,$6.99,,4x,1d,weekend,,gems,gems,Gems,2000
,,,,,,,,,,crate,sku_72wnqwtfmx,Rare Crate,2
,,,,,,,,,,booster,sku_wkm0amtg,Coin Booster 12h,1
,,,,,,,,,,booster,sku_nhh7jtda,XP Booster 12h,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,1
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,1
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,3

offer_ignition_starter,GEM IGNITION,micro_hook,1,$1.99,,5x,1d,,offer_drift_king_upsell,gems,gems,Gems,600
,,,,,,,,,,crate,sku_72wnqwtfmx,Rare Crate,1
,,,,,,,,,,crate,sku_zz3twgp0wx,Common Crate,2
,,,,,,,,,,booster,sku_eqzbetwm,Coin Booster 6h,1
,,,,,,,,,,booster,sku_60fdgqkm,XP Booster 6h,1
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,2
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,2

offer_fuel_emergency,FUEL SURGE,micro_hook,1,$1.99,,6x,1d,,offer_drift_king_upsell,gems,gems,Gems,600
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,1
,,,,,,,,,,booster,sku_eqzbetwm,Coin Booster 6h,1
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,2
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,2

offer_nitro_surge,RARE RUSH,micro_hook,1,$1.99,,5x,1d,,offer_drift_king_upsell,gems,gems,Gems,500
,,,,,,,,,,crate,sku_72wnqwtfmx,Rare Crate,2
,,,,,,,,,,booster,sku_shrd6h_k7w2,Shard Booster 6h,1
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,2
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,2

offer_adrenaline_shot,RARE STORM,micro_hook,1,$1.99,,5x,1d,,offer_drift_king_upsell,gems,gems,Gems,500
,,,,,,,,,,crate,sku_72wnqwtfmx,Rare Crate,2
,,,,,,,,,,crate,sku_zz3twgp0wx,Common Crate,2
,,,,,,,,,,booster,sku_nhh7jtda,XP Booster 12h,1
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,2
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,2

offer_sprint_starter,SPARK CACHE,micro_hook,1,$1.99,,5x,1d,,offer_drift_king_upsell,gems,gems,Gems,500
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,1
,,,,,,,,,,booster,sku_eqzbetwm,Coin Booster 6h,1
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,2
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,2

offer_midnight_oil,NIGHT SHIFT,micro_hook,1,$1.99,,5x,1d,,offer_drift_king_upsell,gems,gems,Gems,600
,,,,,,,,,,crate,sku_72wnqwtfmx,Rare Crate,1
,,,,,,,,,,booster,sku_wkm0amtg,Coin Booster 12h,1
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,1
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,2
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,2

